Atributo,Valor,Nombre
OPS,0,Will Harris
Equipo,Astros de Houston,Josh James
G,3,Josh James
AB,0,Josh James
R,0,Josh James
H,0,Josh James
2B,0,Josh James
3B,0,Josh James
HR,0,Josh James
RBI,0,Josh James
BA,0,Josh James
OPS,0,Josh James
Equipo,Astros de Houston,Martin Maldonado
G,3,Martin Maldonado
AB,7,Martin Maldonado
R,2,Martin Maldonado
H,2,Martin Maldonado
2B,0,Martin Maldonado
3B,0,Martin Maldonado
HR,1,Martin Maldonado
RBI,1,Martin Maldonado
BA,0.286,Martin Maldonado
OPS,1.089,Martin Maldonado
Equipo,Astros de Houston,Jake Marisnick
G,5,Jake Marisnick
AB,8,Jake Marisnick
R,0,Jake Marisnick
H,3,Jake Marisnick
2B,0,Jake Marisnick
3B,0,Jake Marisnick
HR,0,Jake Marisnick
RBI,0,Jake Marisnick
BA,0.375,Jake Marisnick
OPS,0.819,Jake Marisnick
Equipo,Astros de Houston,Roberto Osuna
G,2,Roberto Osuna
AB,0,Roberto Osuna
R,0,Roberto Osuna
H,0,Roberto Osuna
2B,0,Roberto Osuna
3B,0,Roberto Osuna
HR,0,Roberto Osuna
RBI,0,Roberto Osuna
BA,0,Roberto Osuna
OPS,0,Roberto Osuna
Equipo,Astros de Houston,Brad Peacock
G,3,Brad Peacock
AB,0,Brad Peacock
R,0,Brad Peacock
H,0,Brad Peacock
2B,0,Brad Peacock
3B,0,Brad Peacock
HR,0,Brad Peacock
RBI,0,Brad Peacock
BA,0,Brad Peacock
OPS,0,Brad Peacock
Equipo,Astros de Houston,Ryan Pressly
G,4,Ryan Pressly
AB,0,Ryan Pressly
R,0,Ryan Pressly
H,0,Ryan Pressly
2B,0,Ryan Pressly
3B,0,Ryan Pressly
HR,0,Ryan Pressly
RBI,0,Ryan Pressly
BA,0,Ryan Pressly
OPS,0,Ryan Pressly
Equipo,Astros de Houston,Josh Reddick
G,5,Josh Reddick
AB,14,Josh Reddick
R,0,Josh Reddick
H,3,Josh Reddick
2B,0,Josh Reddick
3B,0,Josh Reddick
HR,0,Josh Reddick
RBI,1,Josh Reddick
BA,0.214,Josh Reddick
OPS,0.481,Josh Reddick
Equipo,Astros de Houston,Hector Rondon
G,2,Hector Rondon
AB,0,Hector Rondon
R,0,Hector Rondon
H,0,Hector Rondon
2B,0,Hector Rondon
3B,0,Hector Rondon
HR,0,Hector Rondon
RBI,0,Hector Rondon
BA,0,Hector Rondon
OPS,0,Hector Rondon
Equipo,Astros de Houston,Joe Smith
G,4,Joe Smith
AB,0,Joe Smith
R,0,Joe Smith
H,0,Joe Smith
2B,0,Joe Smith
3B,0,Joe Smith
HR,0,Joe Smith
RBI,0,Joe Smith
BA,0,Joe Smith
OPS,0,Joe Smith
Equipo,Astros de Houston,George Springer
G,7,George Springer
AB,27,George Springer
R,6,George Springer
H,8,George Springer
2B,4,George Springer
3B,0,George Springer
HR,2,George Springer
RBI,4,George Springer
BA,0.296,George Springer
OPS,1.108,George Springer
Equipo,Astros de Houston,Kyle Tucker
G,5,Kyle Tucker
AB,4,Kyle Tucker
R,2,Kyle Tucker
H,1,Kyle Tucker
2B,0,Kyle Tucker
3B,0,Kyle Tucker
HR,0,Kyle Tucker
RBI,0,Kyle Tucker
BA,0.25,Kyle Tucker
OPS,0.75,Kyle Tucker
Equipo,Astros de Houston,Jose Urquidy
G,2,Jose Urquidy
AB,2,Jose Urquidy
R,0,Jose Urquidy
H,0,Jose Urquidy
2B,0,Jose Urquidy
3B,0,Jose Urquidy
HR,0,Jose Urquidy
RBI,0,Jose Urquidy
BA,0,Jose Urquidy
OPS,0,Jose Urquidy
Equipo,Astros de Houston,Justin Verlander
G,2,Justin Verlander
AB,0,Justin Verlander
R,0,Justin Verlander
H,0,Justin Verlander
2B,0,Justin Verlander
3B,0,Justin Verlander
HR,0,Justin Verlander
RBI,0,Justin Verlander
BA,0,Justin Verlander
OPS,0,Justin Verlander
Equipo,Astros de Houston,Astros de Houston
G,108,Astros de Houston
AB,250,Astros de Houston
R,30,Astros de Houston
H,68,Astros de Houston
2B,12,Astros de Houston
3B,0,Astros de Houston
HR,11,Astros de Houston
RBI,30,Astros de Houston
BA,0.272,Astros de Houston
OPS,0.794,Astros de Houston
Equipo,Nacionales de Washington,Matt Adams
G,1,Matt Adams
AB,0,Matt Adams
R,0,Matt Adams
H,0,Matt Adams
2B,0,Matt Adams
3B,0,Matt Adams
HR,0,Matt Adams
RBI,0,Matt Adams
BA,0,Matt Adams
OPS,0,Matt Adams
Equipo,Nacionales de Washington,Asdrubal Cabrera
G,7,Asdrubal Cabrera
AB,21,Asdrubal Cabrera
R,1,Asdrubal Cabrera
H,6,Asdrubal Cabrera
2B,1,Asdrubal Cabrera
3B,0,Asdrubal Cabrera
HR,0,Asdrubal Cabrera
RBI,3,Asdrubal Cabrera
BA,0.286,Asdrubal Cabrera
OPS,0.652,Asdrubal Cabrera
Equipo,Nacionales de Washington,Patrick Corbin
G,3,Patrick Corbin
AB,1,Patrick Corbin
R,0,Patrick Corbin
H,0,Patrick Corbin
2B,0,Patrick Corbin
3B,0,Patrick Corbin
HR,0,Patrick Corbin
RBI,0,Patrick Corbin
BA,0,Patrick Corbin
OPS,0,Patrick Corbin
Equipo,Nacionales de Washington,Sean Doolittle
G,3,Sean Doolittle
AB,0,Sean Doolittle
R,0,Sean Doolittle
H,0,Sean Doolittle
2B,0,Sean Doolittle
3B,0,Sean Doolittle
HR,0,Sean Doolittle
RBI,0,Sean Doolittle
BA,0,Sean Doolittle
OPS,0,Sean Doolittle
Equipo,Nacionales de Washington,Brian Dozier
G,1,Brian Dozier
AB,0,Brian Dozier
R,0,Brian Dozier
H,0,Brian Dozier
2B,0,Brian Dozier
3B,0,Brian Dozier
HR,0,Brian Dozier
RBI,0,Brian Dozier
BA,0,Brian Dozier
OPS,0,Brian Dozier
Equipo,Nacionales de Washington,Adam Eaton
G,7,Adam Eaton
AB,25,Adam Eaton
R,5,Adam Eaton
H,8,Adam Eaton
2B,0,Adam Eaton
3B,0,Adam Eaton
HR,2,Adam Eaton
RBI,6,Adam Eaton
BA,0.32,Adam Eaton
OPS,0.993,Adam Eaton
Equipo,Nacionales de Washington,Yan Gomes
G,5,Yan Gomes
AB,16,Yan Gomes
R,2,Yan Gomes
H,3,Yan Gomes
2B,1,Yan Gomes
3B,0,Yan Gomes
HR,0,Yan Gomes
RBI,0,Yan Gomes
BA,0.188,Yan Gomes
OPS,0.438,Yan Gomes
Equipo,Nacionales de Washington,Javy Guerra
G,2,Javy Guerra
AB,0,Javy Guerra
R,0,Javy Guerra
H,0,Javy Guerra
2B,0,Javy Guerra
3B,0,Javy Guerra
HR,0,Javy Guerra
RBI,0,Javy Guerra
BA,0,Javy Guerra
OPS,0,Javy Guerra
Equipo,Nacionales de Washington,Daniel Hudson
G,3,Daniel Hudson
AB,0,Daniel Hudson
R,0,Daniel Hudson
H,0,Daniel Hudson
2B,0,Daniel Hudson
3B,0,Daniel Hudson
HR,0,Daniel Hudson
RBI,0,Daniel Hudson
BA,0,Daniel Hudson
OPS,0,Daniel Hudson
Equipo,Nacionales de Washington,Howie Kendrick
G,7,Howie Kendrick
AB,25,Howie Kendrick
R,2,Howie Kendrick
H,7,Howie Kendrick
2B,0,Howie Kendrick
3B,0,Howie Kendrick
HR,1,Howie Kendrick
RBI,3,Howie Kendrick
BA,0.28,Howie Kendrick
OPS,0.708,Howie Kendrick
Equipo,Nacionales de Washington,Gerardo Parra
G,4,Gerardo Parra
AB,3,Gerardo Parra
R,1,Gerardo Parra
H,0,Gerardo Parra
2B,0,Gerardo Parra
3B,0,Gerardo Parra
HR,0,Gerardo Parra
RBI,0,Gerardo Parra
BA,0,Gerardo Parra
OPS,0.25,Gerardo Parra
Equipo,Nacionales de Washington,Tanner Rainey
G,4,Tanner Rainey
AB,0,Tanner Rainey
R,0,Tanner Rainey
H,0,Tanner Rainey
2B,0,Tanner Rainey
3B,0,Tanner Rainey
HR,0,Tanner Rainey
RBI,0,Tanner Rainey
BA,0,Tanner Rainey
OPS,0,Tanner Rainey
Equipo,Nacionales de Washington,Anthony Rendon
G,7,Anthony Rendon
AB,29,Anthony Rendon
R,3,Anthony Rendon
H,8,Anthony Rendon
2B,3,Anthony Rendon
3B,0,Anthony Rendon
HR,2,Anthony Rendon
RBI,8,Anthony Rendon
BA,0.276,Anthony Rendon
OPS,0.93,Anthony Rendon
Equipo,Nacionales de Washington,Victor Robles
G,7,Victor Robles
AB,25,Victor Robles
R,4,Victor Robles
H,4,Victor Robles
2B,0,Victor Robles
3B,1,Victor Robles
HR,0,Victor Robles
RBI,1,Victor Robles
BA,0.16,Victor Robles
OPS,0.462,Victor Robles
Equipo,Nacionales de Washington,Fernando Rodney
G,3,Fernando Rodney
AB,0,Fernando Rodney
R,0,Fernando Rodney
H,0,Fernando Rodney
2B,0,Fernando Rodney
3B,0,Fernando Rodney
HR,0,Fernando Rodney
RBI,0,Fernando Rodney
BA,0,Fernando Rodney
OPS,0,Fernando Rodney
Equipo,Nacionales de Washington,Joe Ross
G,2,Joe Ross
AB,1,Joe Ross
R,0,Joe Ross
H,0,Joe Ross
2B,0,Joe Ross
3B,0,Joe Ross
HR,0,Joe Ross
RBI,0,Joe Ross
BA,0,Joe Ross
OPS,0,Joe Ross
Equipo,Nacionales de Washington,Anibal Sanchez
G,1,Anibal Sanchez
AB,2,Anibal Sanchez
R,0,Anibal Sanchez
H,0,Anibal Sanchez
2B,0,Anibal Sanchez
3B,0,Anibal Sanchez
HR,0,Anibal Sanchez
RBI,0,Anibal Sanchez
BA,0,Anibal Sanchez
OPS,0,Anibal Sanchez
Equipo,Nacionales de Washington,Max Scherzer
G,2,Max Scherzer
AB,0,Max Scherzer
R,0,Max Scherzer
H,0,Max Scherzer
2B,0,Max Scherzer
3B,0,Max Scherzer
HR,0,Max Scherzer
RBI,0,Max Scherzer
BA,0,Max Scherzer
OPS,0,Max Scherzer
Equipo,Nacionales de Washington,Juan Soto
G,7,Juan Soto
AB,27,Juan Soto
R,6,Juan Soto
H,9,Juan Soto
2B,2,Juan Soto
3B,0,Juan Soto
HR,3,Juan Soto
RBI,7,Juan Soto
BA,0.333,Juan Soto
OPS,1.178,Juan Soto
Equipo,Nacionales de Washington,Stephen Strasburg
G,2,Stephen Strasburg
AB,0,Stephen Strasburg
R,0,Stephen Strasburg
H,0,Stephen Strasburg
2B,0,Stephen Strasburg
3B,0,Stephen Strasburg
HR,0,Stephen Strasburg
RBI,0,Stephen Strasburg
BA,0,Stephen Strasburg
OPS,0,Stephen Strasburg
Equipo,Nacionales de Washington,Wander Suero
G,3,Wander Suero
AB,0,Wander Suero
R,0,Wander Suero
H,0,Wander Suero
2B,0,Wander Suero
3B,0,Wander Suero
HR,0,Wander Suero
RBI,0,Wander Suero
BA,0,Wander Suero
OPS,0,Wander Suero
Equipo,Nacionales de Washington,Kurt Suzuki
G,3,Kurt Suzuki
AB,10,Kurt Suzuki
R,2,Kurt Suzuki
H,2,Kurt Suzuki
2B,0,Kurt Suzuki
3B,0,Kurt Suzuki
HR,1,Kurt Suzuki
RBI,1,Kurt Suzuki
BA,0.2,Kurt Suzuki
OPS,0.773,Kurt Suzuki
Equipo,Nacionales de Washington,Michael A. Taylor
G,1,Michael A. Taylor
AB,1,Michael A. Taylor
R,1,Michael A. Taylor
H,1,Michael A. Taylor
2B,0,Michael A. Taylor
3B,0,Michael A. Taylor
HR,1,Michael A. Taylor
RBI,1,Michael A. Taylor
BA,1,Michael A. Taylor
OPS,5,Michael A. Taylor
Equipo,Nacionales de Washington,Trea Turner
G,7,Trea Turner
AB,31,Trea Turner
R,4,Trea Turner
H,5,Trea Turner
2B,1,Trea Turner
3B,0,Trea Turner
HR,0,Trea Turner
RBI,0,Trea Turner
BA,0.161,Trea Turner
OPS,0.429,Trea Turner
Equipo,Nacionales de Washington,Ryan Zimmerman
G,7,Ryan Zimmerman
AB,24,Ryan Zimmerman
R,2,Ryan Zimmerman
H,5,Ryan Zimmerman
2B,0,Ryan Zimmerman
3B,0,Ryan Zimmerman
HR,1,Ryan Zimmerman
RBI,2,Ryan Zimmerman
BA,0.208,Ryan Zimmerman
OPS,0.655,Ryan Zimmerman
Equipo,Nacionales de Washington,Nacionales de Washington
G,99,Nacionales de Washington
AB,241,Nacionales de Washington
R,33,Nacionales de Washington
H,58,Nacionales de Washington
2B,8,Nacionales de Washington
3B,1,Nacionales de Washington
HR,11,Nacionales de Washington
RBI,32,Nacionales de Washington
BA,0.241,Nacionales de Washington
OPS,0.739,Nacionales de Washington
